name,常住人口2010,订单数,包邮率,城市简称,省,城市等级,lng,lat,区域
三沙市,1515151,271,0.92619926199262,三沙市,海南省,三线及以下,111.8030745,17.66900147,华南
上海市,23019196,5156782,0.9521500036262924,上海市,上海市,一线,121.4470776,31.1957381,华东
临沧市,2429497,64059,0.9578825769993288,临沧市,云南省,三线及以下,99.67064162,23.93765366,西南
丽江市,1244769,68709,0.9591319914421692,丽江市,云南省,三线及以下,100.5223761,26.9399769,西南
保山市,2506491,89186,0.9659363577243064,保山市,云南省,三线及以下,98.97018584,24.9766729,西南
昆明市,6432209,1020429,0.9583400706957564,昆明市,云南省,二线,102.8723902,25.38545297,西南
昭通市,5213521,127946,0.9648523595892016,昭通市,云南省,三线及以下,103.9976063,27.65223296,西南
普洱市,2542898,78841,0.9564566659479204,普洱市,云南省,三线及以下,100.7142342,23.18338593,西南
曲靖市,5855055,178728,0.9639508079316056,曲靖市,云南省,三线及以下,103.9388539,25.70190853,西南
玉溪市,2303518,121902,0.9642417679775558,玉溪市,云南省,三线及以下,102.1989796,24.13803652,西南
乌兰察布市,2143590,85527,0.9408023197352884,乌兰察布市,内蒙古自治区,三线及以下,112.455912,41.68388547,华北
乌海市,532902,49043,0.92926615419122,乌海市,内蒙古自治区,三线及以下,106.8896526,39.41870327,华北
包头市,2650364,240248,0.9347507575505312,包头市,内蒙古自治区,三线及以下,110.2577664,41.54870863,华北
呼伦贝尔市,2549252,145263,0.9259549919800636,呼伦贝尔市,内蒙古自治区,三线及以下,121.1627046,49.64984174,华北
呼和浩特市,2866615,380233,0.9339957341945596,呼和浩特市,内蒙古自治区,三线及以下,111.4998901,40.58934316,华北
巴彦淖尔市,1669915,90617,0.9387532140768288,巴彦淖尔市,内蒙古自治区,三线及以下,107.5597704,41.44858,华北
赤峰市,4341245,192698,0.9355312457835576,赤峰市,内蒙古自治区,三线及以下,118.8792969,43.20331164,华北
通辽市,3139153,134047,0.9360746603803144,通辽市,内蒙古自治区,三线及以下,121.5771335,43.81837567,华北
